147	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=1 	use_bollinger_signals=0 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
146	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=0 	use_bollinger_signals=0 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
140	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=1 	use_bollinger_signals=1 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
137	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=0 	use_bollinger_signals=0 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
131	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
110	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=1 	use_bollinger_signals=1 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
102	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
101	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=1 	use_bollinger_signals=0 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
62	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=0 	use_bollinger_signals=0 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
12	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
5	447.56	39	1.01	11.48	52181.37	84.01%	0.00000000	optimize_lot=1 	use_ma_signals=0 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=1 	use_bollinger_signals=0 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
170	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
169	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
167	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=1 	use_bollinger_signals=1 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
164	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
162	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
160	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=1 	use_bollinger_signals=1 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
151	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=0 	use_bollinger_signals=1 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
142	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=1 	use_awesome_signals=0 	use_adx_signals=1 	adx_use_parabolic_signal=1 	use_bollinger_signals=1 	use_adx_lateral_market_signal=1	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
139	200.42	34	1.31	5.89	241.54	2.34%	0.00000000	optimize_lot=0 	use_ma_signals=1 	use_stochastic_signals=1 	stochastic_use_atr_volatility_signal=0 	use_awesome_signals=0 	use_adx_signals=0 	adx_use_parabolic_signal=0 	use_bollinger_signals=0 	use_adx_lateral_market_signal=0	lot=0.1 	lot_decrease_factor=3 	price_slippage=3 	max_risk=0.01 	default_trailing_stop=30 	default_take_profit=50 	buy_signals_t=1 	sell_signals_t=1 	ma_window_slow=21 	ma_window_fast=7 	ma_shift=6 	ma_method=1 	ma_price_type=0 	use_atr_sl_tp=1 	atr_stop_loss_factor=200000 	atr_take_profit_factor=400000 	atr_window=14 	atr_normalized_volatility_t=0.1 	stochastic_k_period=14 	stochastic_d_period=3 	stochastic_slowing=3 	stochastic_ma_method=0 	stochastic_price_field=0 	stochastic_over_bought_t=80 	stochasti
